benchmark,model,method,n,scored_n,error_n,accuracy,oracle_rate,avg_unique_answers,avg_graphs,avg_probes,selection_modes,source_files
aiw,gpt-5.4,ddrg_v1_clean,3,3,0,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.0,0.3333333333333333,"{""verified_anchor"": 3}",/home/c64094/HaotianLiu/ddrg_v1/results/pilot_20260514/aiw.jsonl
aiw+,gpt-5.4,ddrg_v1_clean,3,3,0,0.6666666666666666,1.0,2.0,2.0,0.0,"{""verified_anchor"": 3}",/home/c64094/HaotianLiu/ddrg_v1/results/pilot_20260514/aiw_plus.jsonl
logiqa,gpt-5.4,ddrg_v1_clean,3,3,0,0.3333333333333333,0.3333333333333333,1.0,2.0,0.0,"{""verified_anchor"": 3}",/home/c64094/HaotianLiu/ddrg_v1/results/pilot_20260514/logiqa.jsonl
lsat_ar,gpt-5.4,ddrg_v1_clean,3,3,0,1.0,1.0,1.3333333333333333,2.0,0.0,"{""verified_anchor"": 3}",/home/c64094/HaotianLiu/ddrg_v1/results/pilot_20260514/lsat_ar.jsonl
mathqa,gpt-5.4,ddrg_v1_clean,3,3,0,1.0,1.0,1.3333333333333333,2.0,0.0,"{""verified_anchor"": 3}",/home/c64094/HaotianLiu/ddrg_v1/results/pilot_20260514/mathqa.jsonl
medqa,gpt-5.4,ddrg_v1_clean,3,2,1,1.0,1.0,0.6666666666666666,1.3333333333333333,0.0,"{"""": 1, ""verified_anchor"": 2}",/home/c64094/HaotianLiu/ddrg_v1/results/pilot_20260514/medqa_retry.jsonl
